"delay","latitude","longitude","occurrencetimestamp","direction","location","title"
0,52.4696,23.3583,"20180408070400+0200","inbound"," Polowce","No waiting time in Polowce (inbound)$$Keine Wartezeit in Polowce (Einreise)"
0,49.7996,22.951,"20180408065900+0200","inbound"," Medyka","No waiting time in Medyka (inbound)$$Keine Wartezeit in Medyka (Einreise)"
0,49.7998,22.944,"20180408065900+0200","outbound"," Medyka","No waiting time in Medyka (outbound)$$Keine Wartezeit in Medyka (Ausreise)"
0,50.097,23.2804,"20180408065500+0200","inbound"," Budomierz","No waiting time in Budomierz (inbound)$$Keine Wartezeit in Budomierz (Einreise)"
0,50.0956,23.2748,"20180408065500+0200","outbound"," Budomierz","No waiting time in Budomierz (outbound)$$Keine Wartezeit in Budomierz (Ausreise)"
0,51.1817,23.8023,"20180408065300+0200","inbound"," Dorohusk","No waiting time in Dorohusk (inbound)$$Keine Wartezeit in Dorohusk (Einreise)"
120,51.1793,23.8014,"20180408065300+0200","outbound","Dorohusk","Waiting time in Dorohusk (outbound)$$Wartezeit in Dorohusk (Ausreise)"
0,53.1235,23.8931,"20180408065100+0200","inbound"," Bobrowniki","No waiting time in Bobrowniki (inbound)$$Keine Wartezeit in Bobrowniki (Einreise)"
660,53.1239,23.8889,"20180408065100+0200","outbound","Bobrowniki","Waiting time in Bobrowniki (outbound)$$Wartezeit in Bobrowniki (Ausreise)"
0,49.9549,23.1107,"20180408064800+0200","outbound"," Korczowa","No waiting time in Korczowa (outbound)$$Keine Wartezeit in Korczowa (Ausreise)"
0,49.9555,23.1179,"20180408064800+0200","inbound"," Korczowa","No waiting time in Korczowa (inbound)$$Keine Wartezeit in Korczowa (Einreise)"
0,49.4818,22.6956,"20180408064700+0200","outbound"," Kroscienki","No waiting time in Kroscienki (outbound)$$Keine Wartezeit in Kroscienki (Ausreise)"
0,49.4813,22.701,"20180408064700+0200","inbound"," Kroscienki","No waiting time in Kroscienki (inbound)$$Keine Wartezeit in Kroscienki (Einreise)"
240,52.1103,23.5609,"20180408064200+0200","outbound","Koroszczyn","Waiting time in Koroszczyn (outbound)$$Wartezeit in Koroszczyn (Ausreise)"
0,52.1219,23.5707,"20180408064200+0200","inbound"," Koroszczyn","No waiting time in Koroszczyn (inbound)$$Keine Wartezeit in Koroszczyn (Einreise)"
0,52.1219,23.5707,"20180408063500+0200","inbound"," Koroszczyn","No waiting time in Koroszczyn (inbound)$$Keine Wartezeit in Koroszczyn (Einreise)"
0,49.9555,23.1179,"20180408063500+0200","inbound"," Korczowa","No waiting time in Korczowa (inbound)$$Keine Wartezeit in Korczowa (Einreise)"
240,52.1103,23.5609,"20180408063500+0200","outbound","Koroszczyn","Waiting time in Koroszczyn (outbound)$$Wartezeit in Koroszczyn (Ausreise)"
0,49.9549,23.1107,"20180408063500+0200","outbound"," Korczowa","No waiting time in Korczowa (outbound)$$Keine Wartezeit in Korczowa (Ausreise)"
0,49.4818,22.6956,"20180408062600+0200","outbound"," Kroscienki","No waiting time in Kroscienki (outbound)$$Keine Wartezeit in Kroscienki (Ausreise)"
0,49.4813,22.701,"20180408062600+0200","inbound"," Kroscienki","No waiting time in Kroscienki (inbound)$$Keine Wartezeit in Kroscienki (Einreise)"
0,54.4331,19.8961,"20180408062300+0200","outbound"," Gronowo","No waiting time in Gronowo (outbound)$$Keine Wartezeit in Gronowo (Ausreise)"
0,54.4345,19.8976,"20180408062300+0200","inbound"," Gronowo","No waiting time in Gronowo (inbound)$$Keine Wartezeit in Gronowo (Einreise)"
540,53.1239,23.8889,"20180408061900+0200","outbound","Bobrowniki","Waiting time in Bobrowniki (outbound)$$Wartezeit in Bobrowniki (Ausreise)"
0,53.1235,23.8931,"20180408061900+0200","inbound"," Bobrowniki","No waiting time in Bobrowniki (inbound)$$Keine Wartezeit in Bobrowniki (Einreise)"
0,54.3716,20.6602,"20180408061100+0200","outbound"," Bezledy","No waiting time in Bezledy (outbound)$$Keine Wartezeit in Bezledy (Ausreise)"
0,54.3732,20.6581,"20180408061100+0200","inbound"," Bezledy","No waiting time in Bezledy (inbound)$$Keine Wartezeit in Bezledy (Einreise)"
0,49.7998,22.944,"20180408055900+0200","outbound"," Medyka","No waiting time in Medyka (outbound)$$Keine Wartezeit in Medyka (Ausreise)"
