"terminal","servicetype","departures","waitingtimeminutes","journeytimeminutes","delayreason","retrievaldate","latitude","longitude","trend"
"F","delayed",6,15,60,"none/unknown","2018-02-01 20:42:54.635",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-01 21:12:55.095",51.0963,1.13505,"decreasing"
"F","delayed",5,15,60,"none/unknown","2018-02-01 21:12:55.233",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-01 21:42:53.768",51.0963,1.13505,"stable"
"F","delayed",6,15,60,"none/unknown","2018-02-01 21:42:53.906",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-01 22:13:09.059",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-01 22:13:09.198",50.9239,1.81604,"decreasing"
"UK","normal",3,0,60,"none/unknown","2018-02-01 22:42:57.693",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-01 22:42:57.834",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-01 23:12:56.318",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-01 23:12:56.455",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-01 23:42:54.371",51.0963,1.13505,"stable"
"F","normal",3,0,60,"none/unknown","2018-02-01 23:42:54.507",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-02 00:13:05.554",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-02 00:13:05.692",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-02 00:42:53.893",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 00:42:54.033",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-02 01:12:54.851",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-02 01:12:54.989",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 01:42:53.77",51.0963,1.13505,"stable"
